ORG_CODE,DISTRICT_NAME,SCHOOL,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
0818,Franklin County Regional Vocational Technical,08180605,Franklin County Technical,Franklin,643,643,Yes,0%,Include
0766,Southwick-Tolland-Granville Regional School District,07660505,Southwick Regional School,Hampden,588,587,Yes,0%,Include
0832,Montachusett Regional Vocational Technical,08320605,Montachusett Regional Vocational Technical,Worcester,1417,1417,Yes,0%,Include
0851,Northern Berkshire Regional Vocational Technical,08510605,Charles McCann Vocational Technical,Berkshire,514,514,Yes,0%,Include
0860,Pathfinder Regional Vocational Technical,08600605,Pathfinder Vocational Technical,Hampden,660,660,Yes,0%,Include
0876,Southern Worcester County Regional Vocational School District,08760605,Bay Path Regional Vocational Technical High School,Worcester,1188,1188,Yes,0%,Include
3508,"Phoenix Academy Public Charter High School, Springfield (District)",35080505,"Phoenix Academy Public Charter High School, Springfield",Hampden,158,158,Yes,0%,Include
0064,Clinton,00640505,Clinton Senior High,Worcester,582,558,Yes,4%,Include
0348,Worcester,03480423,Sullivan Middle,Worcester,940,892,Yes,5%,Include
0281,Springfield,02810360,Springfield Middle School,Hampden,18,17,Yes,6%,Include
0226,Oxford,02260505,Oxford High,Worcester,453,405,Yes,10%,Include
0017,Auburn,00170505,Auburn Senior High,Worcester,834,727,Yes,12%,Include
0281,Springfield,02810318,Emergence Academy,Hampden,382,338,Yes,12%,Include
0620,Berlin-Boylston,06200505,Tahanto Regional High,Worcester,522,446,Yes,15%,Include
0152,Lenox,01520505,Lenox Memorial High,Berkshire,439,371,Yes,15%,Include
0765,Southern Berkshire,07650505,Mt Everett Regional,Berkshire,278,236,Yes,15%,Include
0499,Hampden Charter School of Science (District),04990305,Hampden Charter School of Science,Hampden,938,794,Yes,15%,Include
0281,Springfield,02810205,The Springfield Renaissance School an Expeditionary Learning School,Hampden,593,497,Yes,16%,Include
0281,Springfield,02810475,Conservatory of the Arts,Hampden,296,248,Yes,16%,Include
3514,Libertas Academy Charter School (District),35140305,Libertas Academy Charter School,Hampden,563,470,Yes,17%,Include
0236,Pittsfield,02360525,Eagle Education Academy,Berkshire,24,20,Yes,17%,Include
0322,West Boylston,03220505,West Boylston Junior/Senior High,Worcester,461,382,Yes,17%,Include
0672,Gateway,06720505,Gateway Regional School,Hampshire,333,272,Yes,18%,Include
