School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
"Phoenix Academy Public Charter High School, Springfield (District)-Phoenix Academy Public Charter High School, Springfield",35080505,48.0,67.7,95.5,96.4,0.0,2023-24,89.6,3508,"Phoenix Academy Public Charter High School, Springfield (District)","Phoenix Academy Public Charter High School, Springfield",Hampden,158,158,Yes,0%,Include
Pioneer Valley-Pioneer Valley Regional,07500505,94.4,10.0,32.9,12.8,21.8,2023-24,3.7,0750,Pioneer Valley,Pioneer Valley Regional,Franklin,239,236,Yes,0%,Include
Pioneer Valley Chinese Immersion Charter (District)-Pioneer Valley Chinese Immersion Charter School,04970205,95.1,8.6,34.8,11.2,13.4,2023-24,1.1,0497,Pioneer Valley Chinese Immersion Charter (District),Pioneer Valley Chinese Immersion Charter School,Hampshire,584,255,Yes,56%,Include
Pioneer Valley Performing Arts Charter Public (District)-Pioneer Valley Performing Arts Charter Public School,04790505,90.2,16.5,63.6,33.3,0.0,2023-24,9.8,0479,Pioneer Valley Performing Arts Charter Public (District),Pioneer Valley Performing Arts Charter Public School,Hampshire,397,397,Yes,0%,Include
Pittsfield-Eagle Education Academy,02360525,70.5,46.5,87.5,81.3,6.3,2023-24,53.1,0236,Pittsfield,Eagle Education Academy,Berkshire,24,20,Yes,17%,Include
Pittsfield-Taconic High,02360510,86.5,23.7,70.1,47.3,5.2,2023-24,22.5,0236,Pittsfield,Taconic High,Berkshire,824,824,Yes,0%,Include
Pittsfield-Theodore Herberg Middle,02360310,89.7,17.7,58.2,34.1,2.7,2023-24,13.6,0236,Pittsfield,Theodore Herberg Middle,Berkshire,587,400,Yes,32%,Include
Pittsfield-Pittsfield High,02360505,84.7,25.9,65.4,48.0,13.5,2023-24,26.0,0236,Pittsfield,Pittsfield High,Berkshire,727,712,Yes,0%,Include
Pittsfield-John T Reid Middle,02360305,85.7,24.5,74.0,51.1,5.6,2023-24,22.4,0236,Pittsfield,John T Reid Middle,Berkshire,407,300,Yes,26%,Include
Quabbin-Quabbin Regional High School,07530505,91.4,14.5,54.6,27.0,32.9,2023-24,9.0,0753,Quabbin,Quabbin Regional High School,Worcester,545,542,Yes,0%,Include
Quabbin-Quabbin Regional Middle School,07530405,92.6,13.0,59.8,22.4,30.8,2023-24,3.9,0753,Quabbin,Quabbin Regional Middle School,Worcester,510,346,Yes,32%,Include
Quaboag Regional-Quaboag Regional Middle Innovation School,07780305,93.7,11.1,48.0,22.0,40.5,2023-24,4.0,0778,Quaboag Regional,Quaboag Regional Middle Innovation School,Worcester,196,196,Yes,0%,Include
Quaboag Regional-Quaboag Regional High,07780505,91.2,15.5,61.5,27.8,48.2,2023-24,8.2,0778,Quaboag Regional,Quaboag Regional High,Worcester,334,334,Yes,0%,Include
Ralph C Mahar-Ralph C Mahar Regional,07550505,91.9,13.7,44.4,22.0,9.5,2023-24,9.9,0755,Ralph C Mahar,Ralph C Mahar Regional,Franklin,509,509,Yes,0%,Include
Shrewsbury-Shrewsbury High School,02710505,92.8,12.8,56.1,18.1,0.3,2023-24,4.0,0271,Shrewsbury,Shrewsbury High School,Worcester,1891,1869,Yes,0%,Include
Shrewsbury-Oak Middle School,02710030,95.0,8.8,34.9,10.9,2.5,2023-24,2.1,0271,Shrewsbury,Oak Middle School,Worcester,914,914,Yes,0%,Include
Sizer School: A North Central Charter Essential (District)-Sizer School: A North Central Charter Essential School,04740505,88.7,19.0,69.0,42.6,31.0,2023-24,16.3,0474,Sizer School: A North Central Charter Essential (District),Sizer School: A North Central Charter Essential School,Worcester,282,282,Yes,0%,Include
South Hadley-South Hadley High,02780505,90.8,16.2,47.0,30.1,0.0,2023-24,14.6,0278,South Hadley,South Hadley High,Hampshire,479,475,Yes,0%,Include
South Hadley-Michael E. Smith Middle School,02780305,91.0,16.1,58.9,26.3,18.1,2023-24,9.7,0278,South Hadley,Michael E. Smith Middle School,Hampshire,505,244,Yes,52%,Include
Southborough-P Brent Trottier,02760305,95.5,8.0,31.1,5.8,0.0,2023-24,0.7,0276,Southborough,P Brent Trottier,Worcester,404,274,Yes,32%,Include
Southbridge-Southbridge High School,02770515,84.8,25.3,78.9,57.2,70.6,2023-24,22.8,0277,Southbridge,Southbridge High School,Worcester,419,419,Yes,0%,Include
Southbridge-Southbridge Middle School,02770315,91.4,14.6,53.7,28.6,46.3,2023-24,9.8,0277,Southbridge,Southbridge Middle School,Worcester,380,276,Yes,27%,Include
Southbridge-Southbridge Academy,02770525,74.4,42.3,90.3,83.9,74.2,2023-24,51.6,0277,Southbridge,Southbridge Academy,Worcester,21,21,Yes,0%,Include
Southern Berkshire-Mt Everett Regional,07650505,91.1,15.7,61.9,32.5,16.8,2023-24,7.3,0765,Southern Berkshire,Mt Everett Regional,Berkshire,278,236,Yes,15%,Include
Southern Worcester County Regional Vocational School District-Bay Path Regional Vocational Technical High School,08760605,95.0,8.7,37.3,9.4,6.0,2023-24,1.3,0876,Southern Worcester County Regional Vocational School District,Bay Path Regional Vocational Technical High School,Worcester,1188,1188,Yes,0%,Include
Southwick-Tolland-Granville Regional School District-Southwick Regional School,07660505,94.6,9.4,37.9,14.5,28.2,2023-24,1.9,0766,Southwick-Tolland-Granville Regional School District,Southwick Regional School,Hampden,588,587,Yes,0%,Include
Spencer-E Brookfield-Knox Trail Middle School,07670415,94.3,10.0,37.5,16.9,0.0,2023-24,2.5,0767,Spencer-E Brookfield,Knox Trail Middle School,Worcester,415,223,Yes,46%,Include
Spencer-E Brookfield-David Prouty High,07670505,89.7,17.1,61.4,31.3,3.0,2023-24,12.0,0767,Spencer-E Brookfield,David Prouty High,Worcester,306,299,Yes,0%,Include
Springfield-John F Kennedy Middle,02810328,91.1,15.0,58.2,33.9,43.9,2023-24,9.5,0281,Springfield,John F Kennedy Middle,Hampden,366,224,Yes,39%,Include
Springfield-Springfield Realization Academy,02810335,93.4,10.9,38.5,19.7,28.4,2023-24,6.3,0281,Springfield,Springfield Realization Academy,Hampden,212,148,Yes,30%,Include
Springfield-Gateway to College at Springfield Technical Community College,02810580,90.8,15.4,56.7,26.7,56.7,2023-24,10.0,0281,Springfield,Gateway to College at Springfield Technical Community College,Hampden,25,25,Yes,0%,Include
Springfield-Roger L. Putnam Vocational Technical Academy,02810620,93.0,12.4,51.1,22.6,33.9,2023-24,4.5,0281,Springfield,Roger L. Putnam Vocational Technical Academy,Hampden,1382,1382,Yes,0%,Include
Springfield-Springfield International Academy at Sci-Tech,02810700,88.8,16.2,52.7,38.7,45.2,2023-24,18.3,0281,Springfield,Springfield International Academy at Sci-Tech,Hampden,95,95,Yes,0%,Include
Springfield-The Springfield Virtual School,02810705,92.6,12.9,40.4,20.9,31.6,2023-24,10.1,0281,Springfield,The Springfield Virtual School,Hampden,250,185,Yes,26%,Include
Springfield-Springfield Public Day Middle School,02810345,83.5,28.7,60.7,50.8,47.5,2023-24,27.9,0281,Springfield,Springfield Public Day Middle School,Hampden,60,46,Yes,23%,Include
Springfield-STEM Middle Academy,02810350,95.9,7.2,30.6,5.9,11.5,2023-24,0.3,0281,Springfield,STEM Middle Academy,Hampden,269,178,Yes,34%,Include
Springfield-South End Middle School,02810355,89.6,17.2,64.3,45.9,53.5,2023-24,11.9,0281,Springfield,South End Middle School,Hampden,163,114,Yes,30%,Include
Springfield-Springfield Middle School,02810360,65.1,52.2,77.8,77.8,77.8,2023-24,55.6,0281,Springfield,Springfield Middle School,Hampden,18,17,Yes,6%,Include
Springfield-Impact Prep at Chestnut,02810366,91.8,14.0,56.4,28.7,46.0,2023-24,7.9,0281,Springfield,Impact Prep at Chestnut,Hampden,278,143,Yes,49%,Include
Springfield-Chestnut Accelerated Middle School (Talented and Gifted),02810367,94.9,9.0,37.8,11.8,26.0,2023-24,2.0,0281,Springfield,Chestnut Accelerated Middle School (Talented and Gifted),Hampden,265,172,Yes,35%,Include
Springfield-Conservatory of the Arts,02810475,89.7,18.4,71.4,41.1,8.1,2023-24,11.1,0281,Springfield,Conservatory of the Arts,Hampden,296,248,Yes,16%,Include
Springfield-Rise Academy at Van Sickle,02810480,88.5,19.7,70.5,48.6,54.5,2023-24,15.5,0281,Springfield,Van Sickle Prep,Hampden,206,134,Yes,35%,Include
Springfield-Van Sickle Academy,02810485,89.7,17.7,75.4,38.1,56.5,2023-24,11.5,0281,Springfield,Van Sickle Academy,Hampden,262,180,Yes,31%,Include
Springfield-Springfield Central High,02810500,92.2,13.4,49.2,28.0,26.0,2023-24,7.1,0281,Springfield,Springfield Central High,Hampden,1983,1983,Yes,0%,Include
Springfield-High School Of Commerce,02810510,88.0,19.9,64.3,42.7,50.5,2023-24,19.3,0281,Springfield,High School Of Commerce,Hampden,966,966,Yes,0%,Include
Springfield-Springfield High School of Science and Technology,02810530,90.6,15.8,53.9,34.4,40.6,2023-24,11.7,0281,Springfield,Springfield High School of Science and Technology,Hampden,1091,1091,Yes,0%,Include
Springfield-Springfield Public Day High School,02810550,73.5,42.6,91.4,80.0,77.1,2023-24,47.1,0281,Springfield,Springfield Public Day High School,Hampden,65,65,Yes,0%,Include
Springfield-The Springfield Renaissance School an Expeditionary Learning School,02810205,92.3,13.7,51.6,27.4,31.7,2023-24,6.8,0281,Springfield,The Springfield Renaissance School an Expeditionary Learning School,Hampden,593,497,Yes,16%,Include
Springfield-Kiley Prep,02810315,91.8,13.6,53.9,30.5,24.9,2023-24,9.7,0281,Springfield,Kiley Prep,Hampden,298,191,Yes,36%,Include
Springfield-Liberty Preparatory Academy,02810560,91.1,6.9,16.7,16.7,11.1,2023-24,5.6,0281,Springfield,Liberty Preparatory Academy,Hampden,6,6,Yes,0%,Include
Springfield-Springfield High School,02810570,79.9,24.8,55.9,55.9,54.6,2023-24,34.5,0281,Springfield,Springfield High School,Hampden,237,237,Yes,0%,Include
Springfield-Gateway to College at Holyoke Community College,02810575,92.7,12.7,34.5,27.6,34.5,2023-24,13.8,0281,Springfield,Gateway to College at Holyoke Community College,Hampden,21,21,Yes,0%,Include
Springfield-Kiley Academy,02810316,89.8,17.5,63.4,39.7,48.6,2023-24,12.7,0281,Springfield,Kiley Academy,Hampden,268,179,Yes,33%,Include
Springfield-Springfield Legacy Academy,02810317,92.5,12.6,49.5,22.0,27.2,2023-24,5.9,0281,Springfield,Springfield Legacy Academy,Hampden,299,238,Yes,20%,Include
Springfield-Emergence Academy,02810318,95.4,6.5,19.3,11.2,22.4,2023-24,4.6,0281,Springfield,Emergence Academy,Hampden,382,338,Yes,12%,Include
Springfield-John J Duggan Academy,02810320,92.3,13.4,51.9,27.8,36.2,2023-24,8.5,0281,Springfield,John J Duggan Academy,Hampden,823,652,Yes,21%,Include
Springfield-Forest Park Middle,02810325,89.6,17.5,65.6,39.9,49.3,2023-24,14.9,0281,Springfield,Forest Park Middle,Hampden,282,182,Yes,35%,Include
Springfield International Charter (District)-Springfield International Charter School,04410505,91.7,14.4,59.2,29.3,48.4,2023-24,5.7,0441,Springfield International Charter (District),Springfield International Charter School,Hampden,1511,711,Yes,53%,Include
Sutton-Sutton Middle School,02900305,95.5,8.0,31.1,9.0,5.0,2023-24,1.3,0290,Sutton,Sutton Middle School,Worcester,313,196,Yes,37%,Include
Sutton-Sutton High School,02900510,92.7,12.6,61.0,21.2,6.8,2023-24,3.4,0290,Sutton,Sutton High School,Worcester,367,367,Yes,0%,Include
Tantasqua-Tantasqua Regional Vocational,07700605,94.9,9.1,33.4,14.7,31.9,2023-24,4.2,0770,Tantasqua,Tantasqua Regional Vocational,Worcester,542,542,Yes,0%,Include
Tantasqua-Tantasqua Regional Sr High,07700505,94.0,10.5,37.8,16.0,35.1,2023-24,5.6,0770,Tantasqua,Tantasqua Regional Sr High,Worcester,632,625,Yes,0%,Include
Tantasqua-Tantasqua Regional Jr High,07700405,93.7,11.1,43.7,17.5,34.2,2023-24,3.5,0770,Tantasqua,Tantasqua Regional Jr High,Worcester,576,576,Yes,0%,Include
Uxbridge-Gateway to College,03040515,95.2,6.6,26.5,16.3,24.5,2023-24,6.1,0304,Uxbridge,Gateway to College,Worcester,44,44,Yes,0%,Include
Uxbridge-Uxbridge High,03040505,93.2,11.9,44.5,22.0,17.5,2023-24,5.5,0304,Uxbridge,Uxbridge High,Worcester,590,582,Yes,0%,Include
Veritas Preparatory Charter School (District)-Veritas Preparatory Charter School,04980405,92.6,12.8,54.9,24.1,55.3,2023-24,6.1,0498,Veritas Preparatory Charter School (District),Veritas Preparatory Charter School,Hampden,712,495,Yes,30%,Include
Wachusett-Mountview Middle,07750305,94.6,9.7,39.1,11.2,0.0,2023-24,2.2,0775,Wachusett,Mountview Middle,Worcester,773,504,Yes,35%,Include
Wachusett-Central Tree Middle,07750310,93.4,11.7,52.3,17.7,0.0,2023-24,3.4,0775,Wachusett,Central Tree Middle,Worcester,369,249,Yes,33%,Include
Wachusett-Chocksett Middle School,07750315,94.8,9.2,35.1,8.7,0.0,2023-24,2.2,0775,Wachusett,Chocksett Middle School,Worcester,264,127,Yes,52%,Include
Wachusett-Wachusett Regional High,07750505,94.9,9.0,33.1,9.1,0.0,2023-24,3.0,0775,Wachusett,Wachusett Regional High,Worcester,1779,1760,Yes,0%,Include
Ware-Ware Junior/Senior High School,03090505,91.9,13.9,50.4,27.7,27.1,2023-24,8.5,0309,Ware,Ware Junior/Senior High School,Hampshire,425,416,Yes,0%,Include
Webster-Webster Middle School,03160315,91.6,14.5,57.5,32.6,0.0,2023-24,6.7,0316,Webster,Webster Middle School,Worcester,566,293,Yes,48%,Include
Webster-Bartlett High School,03160505,88.9,18.8,69.7,42.3,0.0,2023-24,13.8,0316,Webster,Bartlett High School,Worcester,408,404,Yes,0%,Include
West Boylston-West Boylston Junior/Senior High,03220505,93.8,10.9,43.4,18.3,37.9,2023-24,3.7,0322,West Boylston,West Boylston Junior/Senior High,Worcester,461,382,Yes,17%,Include
West Springfield-West Springfield High,03320505,92.6,12.6,44.0,23.8,21.6,2023-24,8.7,0332,West Springfield,West Springfield High,Hampden,1231,1221,Yes,0%,Include
West Springfield-West Springfield Middle,03320305,93.4,11.3,44.4,20.2,23.9,2023-24,4.8,0332,West Springfield,West Springfield Middle,Hampden,909,612,Yes,33%,Include
Westborough-Westborough High,03210505,93.7,11.0,40.1,17.3,25.8,2023-24,5.5,0321,Westborough,Westborough High,Worcester,1213,1204,Yes,0%,Include
Westborough-Sarah W Gibbons Middle,03210305,95.7,7.5,26.9,9.7,9.8,2023-24,1.6,0321,Westborough,Sarah W Gibbons Middle,Worcester,610,610,Yes,0%,Include
Westfield-Westfield Middle School,03250310,93.1,12.1,47.7,21.6,36.5,2023-24,5.1,0325,Westfield,Westfield Middle School,Hampden,671,671,Yes,0%,Include
Westfield-Westfield High,03250505,89.9,17.5,58.0,30.3,42.1,2023-24,13.2,0325,Westfield,Westfield High,Hampden,1034,1020,Yes,0%,Include
Westfield-Westfield Technical Academy,03250605,93.2,12.0,49.3,19.9,19.1,2023-24,4.6,0325,Westfield,Westfield Technical Academy,Hampden,557,557,Yes,0%,Include
Winchendon-Murdock High School,03430515,89.1,18.2,61.8,37.4,24.0,2023-24,17.9,0343,Winchendon,Murdock High School,Worcester,256,253,Yes,0%,Include
Winchendon-Murdock Middle School,03430315,82.7,29.9,82.9,60.7,0.0,2023-24,26.5,0343,Winchendon,Murdock Middle School,Worcester,281,191,Yes,32%,Include
Worcester-University Pk Campus School,03480285,91.5,14.6,54.5,25.6,43.5,2023-24,8.1,0348,Worcester,University Pk Campus School,Worcester,233,233,Yes,0%,Include
Worcester-Claremont Academy,03480350,89.4,17.4,59.5,36.5,54.1,2023-24,17.4,0348,Worcester,Claremont Academy,Worcester,474,473,Yes,0%,Include
Worcester-Burncoat Middle School,03480405,91.8,14.1,50.3,28.3,40.9,2023-24,8.9,0348,Worcester,Burncoat Middle School,Worcester,720,720,Yes,0%,Include
Worcester-Forest Grove Middle,03480415,91.9,14.0,53.7,28.6,45.6,2023-24,5.9,0348,Worcester,Forest Grove Middle,Worcester,839,839,Yes,0%,Include
Worcester-Worcester East Middle,03480420,90.4,16.0,60.7,38.5,51.7,2023-24,10.3,0348,Worcester,Worcester East Middle,Worcester,731,731,Yes,0%,Include
Worcester-Sullivan Middle,03480423,91.5,14.4,56.3,31.7,47.0,2023-24,8.9,0348,Worcester,Sullivan Middle,Worcester,940,892,Yes,5%,Include
Worcester-Burncoat Senior High,03480503,88.4,19.5,60.9,38.0,54.8,2023-24,16.7,0348,Worcester,Burncoat Senior High,Worcester,1073,1050,Yes,0%,Include
Worcester-Doherty Memorial High,03480512,90.0,16.8,55.9,33.9,47.0,2023-24,13.6,0348,Worcester,Doherty Memorial High,Worcester,1573,1565,Yes,0%,Include
Worcester-North High,03480515,84.7,25.1,68.5,48.3,64.4,2023-24,24.4,0348,Worcester,North High,Worcester,1376,1362,Yes,0%,Include
Worcester-South High Community,03480520,87.9,20.3,63.5,42.3,56.8,2023-24,18.8,0348,Worcester,South High Community,Worcester,1800,1779,Yes,0%,Include
Worcester-Worcester Technical High,03480605,92.9,12.4,49.1,21.3,38.7,2023-24,4.9,0348,Worcester,Worcester Technical High,Worcester,1442,1419,Yes,0%,Include
Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,96.0,7.1,25.6,7.3,14.2,2024-25,0.8,0445,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public School,Worcester,1426,540,Yes,62%,Include
Agawam-Agawam High,00050505,89.5,18.4,88.8,42.1,0.3,2024-25,7.1,0005,Agawam,Agawam High,Hampden,1025,1016,Yes,0%,Include
Agawam-Agawam Junior High,00050405,92.9,12.4,49.9,22.6,0.2,2024-25,4.4,0005,Agawam,Agawam Junior High,Hampden,527,527,Yes,0%,Include
Amherst-Pelham-Amherst Regional Middle School,06050405,93.7,11.1,40.3,17.3,7.0,2024-25,4.1,0605,Amherst-Pelham,Amherst Regional Middle School,Hampshire,366,366,Yes,0%,Include
Amherst-Pelham-Amherst Regional High,06050505,91.7,14.6,49.5,24.2,28.1,2024-25,8.7,0605,Amherst-Pelham,Amherst Regional High,Hampshire,816,810,Yes,0%,Include
Ashburnham-Westminster-Overlook Middle School,06100305,94.8,9.2,39.1,10.5,27.8,2024-25,1.2,0610,Ashburnham-Westminster,Overlook Middle School,Worcester,576,360,Yes,38%,Include
Ashburnham-Westminster-Oakmont Regional High School,06100505,95.0,8.7,30.8,10.0,30.0,2024-25,2.0,0610,Ashburnham-Westminster,Oakmont Regional High School,Worcester,633,629,Yes,0%,Include
Athol-Royalston-Athol High,06150505,92.6,12.5,44.2,23.3,37.2,2024-25,6.8,0615,Athol-Royalston,Athol High,Worcester,417,413,Yes,0%,Include
Athol-Royalston-Athol-Royalston Middle School,06150305,90.2,16.8,64.3,36.8,47.6,2024-25,12.6,0615,Athol-Royalston,Athol-Royalston Middle School,Worcester,446,243,Yes,46%,Include
Auburn-Auburn Senior High,00170505,93.8,10.6,44.3,15.9,25.4,2024-25,3.5,0017,Auburn,Auburn Senior High,Worcester,834,727,Yes,12%,Include
Auburn-Auburn Middle,00170305,94.7,9.3,33.9,10.6,25.3,2024-25,2.2,0017,Auburn,Auburn Middle,Worcester,628,420,Yes,33%,Include
Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,90.7,15.9,57.9,32.7,3.0,2024-25,11.7,3502,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School,Hampden,388,317,Yes,18%,Include
Belchertown-Jabish Middle School,00240025,94.0,10.7,42.6,17.1,29.1,2024-25,3.4,0024,Belchertown,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
Belchertown-Belchertown High,00240505,92.7,12.5,47.1,21.6,33.2,2024-25,7.5,0024,Belchertown,Belchertown High,Hampshire,573,565,Yes,0%,Include
Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,91.4,15.1,56.9,31.4,43.1,2024-25,12.0,0414,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public School,Berkshire,364,292,Yes,20%,Include
Berkshire Hills-W.E.B. Du Bois Regional Middle School,06180310,92.9,12.6,51.7,24.3,3.9,2024-25,3.0,0618,Berkshire Hills,W.E.B. Du Bois Regional Middle School,Berkshire,326,171,Yes,48%,Include
Berkshire Hills-Monument Mt Regional High,06180505,90.1,16.7,55.5,33.3,17.4,2024-25,13.0,0618,Berkshire Hills,Monument Mt Regional High,Berkshire,431,427,Yes,0%,Include
Berlin-Boylston-Tahanto Regional High,06200505,94.5,9.8,38.3,12.1,13.3,2024-25,2.8,0620,Berlin-Boylston,Tahanto Regional High,Worcester,522,446,Yes,15%,Include
Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,95.8,8.0,30.5,6.3,2.6,2024-25,0.8,0805,Blackstone Valley Regional Vocational Technical,Blackstone Valley,Worcester,1243,1243,Yes,0%,Include
Blackstone-Millville-Blackstone Millville RHS,06220505,92.4,13.1,50.2,24.4,34.9,2024-25,6.6,0622,Blackstone-Millville,Blackstone Millville RHS,Worcester,534,531,Yes,0%,Include
Central Berkshire-Nessacus Regional Middle School,06350305,94.1,10.4,41.5,18.7,21.4,2024-25,3.1,0635,Central Berkshire,Nessacus Regional Middle School,Berkshire,353,247,Yes,30%,Include
Central Berkshire-Wahconah Regional High,06350505,93.7,11.1,43.5,18.5,33.4,2024-25,4.8,0635,Central Berkshire,Wahconah Regional High,Berkshire,450,450,Yes,0%,Include
Chicopee-Chicopee Academy,00610021,80.2,27.0,80.4,71.7,67.4,2024-25,39.1,0061,Chicopee,Chicopee Academy,Hampden,92,92,Yes,0%,Include
Chicopee-Chicopee High,00610505,90.0,16.8,58.0,34.3,55.8,2024-25,13.8,0061,Chicopee,Chicopee High,Hampden,918,918,Yes,0%,Include
Chicopee-Chicopee Comprehensive High School,00610510,93.9,10.6,40.7,17.1,34.7,2024-25,5.0,0061,Chicopee,Chicopee Comprehensive High School,Hampden,1192,1192,Yes,0%,Include
Chicopee-Bellamy Middle,00610305,93.0,12.2,49.9,21.7,46.7,2024-25,4.0,0061,Chicopee,Bellamy Middle,Hampden,776,533,Yes,31%,Include
Chicopee-Dupont Middle,00610310,91.8,14.0,55.6,25.9,54.0,2024-25,6.7,0061,Chicopee,Dupont Middle,Hampden,683,474,Yes,31%,Include
Clinton-Clinton Senior High,00640505,92.5,12.8,54.7,20.0,6.4,2024-25,5.9,0064,Clinton,Clinton Senior High,Worcester,582,558,Yes,4%,Include
Clinton-Clinton Middle School,00640305,96.2,6.6,25.0,4.8,0.0,2024-25,1.0,0064,Clinton,Clinton Middle School,Worcester,573,274,Yes,52%,Include
Douglas-Douglas High School,00770505,93.0,12.4,59.1,16.4,50.2,2024-25,3.0,0077,Douglas,Douglas High School,Worcester,267,264,Yes,0%,Include
Douglas-Douglas Middle School,00770305,94.7,9.5,43.0,10.5,0.3,2024-25,0.3,0077,Douglas,Douglas Middle School,Worcester,284,193,Yes,32%,Include
Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,93.1,11.8,45.5,19.9,25.2,2024-25,5.3,0658,Dudley-Charlton Reg,Shepherd Hill Regional High,Worcester,942,938,Yes,0%,Include
Dudley-Charlton Reg-Charlton Middle School,06580310,95.1,8.7,33.4,9.2,18.7,2024-25,1.4,0658,Dudley-Charlton Reg,Charlton Middle School,Worcester,631,316,Yes,50%,Include
Dudley-Charlton Reg-Dudley Middle School,06580305,94.8,9.2,36.0,10.8,20.6,2024-25,1.3,0658,Dudley-Charlton Reg,Dudley Middle School,Worcester,540,285,Yes,47%,Include
East Longmeadow-East Longmeadow High,00870505,96.1,6.8,21.7,7.1,0.1,2024-25,1.1,0087,East Longmeadow,East Longmeadow High,Hampden,753,750,Yes,0%,Include
East Longmeadow-Birchland Park,00870305,96.1,6.8,22.9,4.8,0.0,2024-25,0.8,0087,East Longmeadow,Birchland Park,Hampden,590,403,Yes,32%,Include
Easthampton-Easthampton High,00860505,92.0,13.9,53.1,27.3,46.6,2024-25,6.3,0086,Easthampton,Easthampton High,Hampshire,377,377,Yes,0%,Include
Fitchburg-Fitchburg High,00970505,88.5,19.3,65.7,43.6,52.0,2024-25,16.4,0097,Fitchburg,Fitchburg High,Worcester,1220,1220,Yes,0%,Include
Fitchburg-Goodrich Academy,00970510,91.4,11.7,38.4,22.1,34.9,2024-25,12.8,0097,Fitchburg,Goodrich Academy,Worcester,186,160,Yes,0%,Include
Fitchburg-Memorial Middle School,00970048,90.6,15.9,57.5,34.7,49.7,2024-25,10.1,0097,Fitchburg,Memorial Middle School,Worcester,601,370,Yes,38%,Include
Fitchburg-Arthur M Longsjo Middle School,00970315,89.7,17.4,63.2,41.4,57.8,2024-25,11.4,0097,Fitchburg,Arthur M Longsjo Middle School,Worcester,614,394,Yes,36%,Include
Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,93.2,11.7,43.5,20.2,8.1,2024-25,6.7,0413,Four Rivers Charter Public (District),Four Rivers Charter Public School,Franklin,213,213,Yes,0%,Include
Franklin County Regional Vocational Technical-Franklin County Technical,08180605,94.0,10.5,43.6,13.3,23.6,2024-25,2.6,0818,Franklin County Regional Vocational Technical,Franklin County Technical,Franklin,643,643,Yes,0%,Include
Frontier-Frontier Regional,06700505,93.4,11.7,43.3,14.9,22.4,2024-25,3.7,0670,Frontier,Frontier Regional,Franklin,588,582,Yes,0%,Include
Gardner-Gardner High,01030505,94.1,10.0,38.7,20.6,18.4,2024-25,5.9,0103,Gardner,Gardner High,Worcester,808,804,Yes,0%,Include
Gardner-Gardner Academy for Learning and Technology,01030515,97.2,4.5,18.5,7.7,6.2,2024-25,1.5,0103,Gardner,Gardner Academy for Learning and Technology,Worcester,123,123,Yes,0%,Include
Gateway-Gateway Regional School,06720505,91.0,15.7,53.2,23.2,0.0,2024-25,8.2,0672,Gateway,Gateway Regional School,Hampshire,333,272,Yes,18%,Include
Gill-Montague-Great Falls Middle,06740310,92.8,12.6,51.9,21.2,43.3,2024-25,6.5,0674,Gill-Montague,Great Falls Middle,Franklin,228,169,Yes,26%,Include
Gill-Montague-Turners Fall High,06740505,91.9,13.6,46.0,27.7,37.1,2024-25,10.4,0674,Gill-Montague,Turners Fall High,Franklin,199,197,Yes,0%,Include
Grafton-Grafton Middle,01100305,94.8,9.3,33.0,11.7,0.4,2024-25,3.1,0110,Grafton,Grafton Middle,Worcester,478,478,Yes,0%,Include
Grafton-Grafton High School,01100505,92.8,12.8,45.0,19.3,1.0,2024-25,7.0,0110,Grafton,Grafton High School,Worcester,914,899,Yes,0%,Include
Granby-Granby Jr Sr High School,01110505,95.5,8.0,26.2,7.8,8.5,2024-25,4.1,0111,Granby,Granby Jr Sr High School,Hampshire,290,290,Yes,0%,Include
Greater Commonwealth Virtual District-Greater Commonwealth Virtual School,39010900,93.5,9.5,31.2,26.6,0.1,2024-25,11.7,3901,Greater Commonwealth Virtual District,Greater Commonwealth Virtual School,Franklin,1184,864,Yes,27%,Include
Greenfield-Greenfield High,01140505,88.8,18.6,58.6,39.5,38.3,2024-25,17.1,0114,Greenfield,Greenfield High,Franklin,404,394,Yes,0%,Include
Hadley-Hopkins Academy,01170505,94.9,8.9,33.5,13.1,4.9,2024-25,1.9,0117,Hadley,Hopkins Academy,Hampshire,203,203,Yes,0%,Include
Hampden Charter School of Science (District)-Hampden Charter School of Science,04990305,93.8,10.9,47.8,15.3,16.1,2024-25,2.3,0499,Hampden Charter School of Science (District),Hampden Charter School of Science,Hampden,938,794,Yes,15%,Include
