School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Worcester-North High,03480515,90.7,9.7,32.9,31.1,30.1,2019-20,NA,0348,Worcester,North High,Worcester,1376,1362,Yes,0%,Include
Worcester-South High Community,03480520,91.2,9.4,32.4,28.8,26.2,2019-20,NA,0348,Worcester,South High Community,Worcester,1800,1779,Yes,0%,Include
Worcester-Worcester Technical High,03480605,96.4,3.9,9.0,7.5,6.8,2019-20,NA,0348,Worcester,Worcester Technical High,Worcester,1442,1419,Yes,0%,Include
Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,97.0,5.0,14.0,6.5,2.6,2020-21,NA,0445,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public School,Worcester,1426,540,Yes,62%,Include
Agawam-Agawam Junior High,00050405,92.8,11.9,39.9,23.0,10.7,2020-21,NA,0005,Agawam,Agawam Junior High,Hampden,527,527,Yes,0%,Include
Agawam-Agawam High,00050505,90.3,16.0,49.2,31.2,8.5,2020-21,NA,0005,Agawam,Agawam High,Hampden,1025,1016,Yes,0%,Include
Amherst-Pelham-Amherst Regional Middle School,06050405,94.3,9.5,28.2,18.4,0.0,2020-21,NA,0605,Amherst-Pelham,Amherst Regional Middle School,Hampshire,366,366,Yes,0%,Include
Amherst-Pelham-Amherst Regional High,06050505,90.9,15.1,24.1,18.3,0.8,2020-21,NA,0605,Amherst-Pelham,Amherst Regional High,Hampshire,816,810,Yes,0%,Include
Ashburnham-Westminster-Overlook Middle School,06100305,95.9,6.9,22.5,9.8,4.9,2020-21,NA,0610,Ashburnham-Westminster,Overlook Middle School,Worcester,576,360,Yes,38%,Include
Ashburnham-Westminster-Oakmont Regional High School,06100505,93.3,11.1,32.5,17.2,18.0,2020-21,NA,0610,Ashburnham-Westminster,Oakmont Regional High School,Worcester,633,629,Yes,0%,Include
Athol-Royalston-Athol High,06150505,93.3,10.5,29.9,17.9,8.0,2020-21,NA,0615,Athol-Royalston,Athol High,Worcester,417,413,Yes,0%,Include
Athol-Royalston-Athol-Royalston Middle School,06150305,90.9,14.6,45.3,32.7,16.7,2020-21,NA,0615,Athol-Royalston,Athol-Royalston Middle School,Worcester,446,243,Yes,46%,Include
Auburn-Auburn Middle,00170305,94.3,9.6,28.3,15.3,0.0,2020-21,NA,0017,Auburn,Auburn Middle,Worcester,628,420,Yes,33%,Include
Auburn-Auburn Senior High,00170505,91.0,14.9,44.0,29.2,0.0,2020-21,NA,0017,Auburn,Auburn Senior High,Worcester,834,727,Yes,12%,Include
Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,92.5,13.1,42.2,21.9,0.0,2020-21,NA,3502,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School,Hampden,388,317,Yes,18%,Include
Belchertown-Jabish Middle School,00240025,95.9,6.9,19.3,11.3,12.7,2020-21,NA,0024,Belchertown,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
Belchertown-Belchertown High,00240505,93.2,11.2,35.2,21.4,29.8,2020-21,NA,0024,Belchertown,Belchertown High,Hampshire,573,565,Yes,0%,Include
Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,92.4,13.0,36.0,21.1,32.9,2020-21,NA,0414,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public School,Berkshire,364,292,Yes,20%,Include
Berkshire Hills-W.E.B. Du Bois Regional Middle School,06180310,92.1,13.2,43.7,26.0,0.3,2020-21,NA,0618,Berkshire Hills,W.E.B. Du Bois Regional Middle School,Berkshire,326,171,Yes,48%,Include
Berkshire Hills-Monument Mt Regional High,06180505,88.7,18.5,52.6,35.0,4.3,2020-21,NA,0618,Berkshire Hills,Monument Mt Regional High,Berkshire,431,427,Yes,0%,Include
Berlin-Boylston-Tahanto Regional High,06200505,96.1,6.4,18.0,8.6,1.8,2020-21,NA,0620,Berlin-Boylston,Tahanto Regional High,Worcester,522,446,Yes,15%,Include
Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,97.2,5.1,15.4,4.8,0.2,2020-21,NA,0805,Blackstone Valley Regional Vocational Technical,Blackstone Valley,Worcester,1243,1243,Yes,0%,Include
Blackstone-Millville-Blackstone Millville RHS,06220505,93.1,13.0,39.8,21.4,13.8,2020-21,NA,0622,Blackstone-Millville,Blackstone Millville RHS,Worcester,534,531,Yes,0%,Include
Central Berkshire-Wahconah Regional High,06350505,95.9,6.9,21.2,11.5,0.0,2020-21,NA,0635,Central Berkshire,Wahconah Regional High,Berkshire,450,450,Yes,0%,Include
Central Berkshire-Nessacus Regional Middle School,06350305,94.2,9.6,32.6,19.0,0.0,2020-21,NA,0635,Central Berkshire,Nessacus Regional Middle School,Berkshire,353,247,Yes,30%,Include
Chicopee-Bellamy Middle,00610305,93.2,11.3,36.4,20.0,6.6,2020-21,NA,0061,Chicopee,Bellamy Middle,Hampden,776,533,Yes,31%,Include
Chicopee-Chicopee Academy,00610021,63.7,50.7,89.1,84.4,76.6,2020-21,NA,0061,Chicopee,Chicopee Academy,Hampden,92,92,Yes,0%,Include
Chicopee-Dupont Middle,00610310,89.9,16.5,45.8,32.4,16.9,2020-21,NA,0061,Chicopee,Dupont Middle,Hampden,683,474,Yes,31%,Include
Chicopee-Chicopee High,00610505,83.5,26.4,57.8,46.5,17.1,2020-21,NA,0061,Chicopee,Chicopee High,Hampden,918,918,Yes,0%,Include
Chicopee-Chicopee Comprehensive High School,00610510,91.0,14.7,42.6,28.0,8.4,2020-21,NA,0061,Chicopee,Chicopee Comprehensive High School,Hampden,1192,1192,Yes,0%,Include
